/home/heshi/work/bench-probes/MLAgentBench/.venv/lib/python3.10/site-packages/ogb/nodeproppred/dataset_pyg.py:69: UserWarning: Environment variable TORCH_FORCE_NO_WEIGHTS_ONLY_LOAD detected, since the`weights_only` argument was not explicitly passed to `torch.load`, forcing weights_only=False.
  self.data, self.slices = torch.load(self.processed_paths[0])
/home/heshi/work/copilotv3-mlagentbench-ogbn-arxiv-official-compat-20260603/copilot_mlp/env/train.py:65: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  print(f"epoch={epoch} loss={float(loss):.6f} train_acc={train_acc:.4f} val_acc={val_acc:.4f} best_val={best_val:.4f}", flush=True)
epoch=0 loss=3.814164 train_acc=0.3737 val_acc=0.3845 best_val=0.3845
epoch=1 loss=2.607445 train_acc=0.3975 val_acc=0.4350 best_val=0.4350
epoch=2 loss=2.356019 train_acc=0.4305 val_acc=0.4619 best_val=0.4619
epoch=3 loss=2.208664 train_acc=0.4548 val_acc=0.4775 best_val=0.4775
epoch=4 loss=2.106829 train_acc=0.4685 val_acc=0.4761 best_val=0.4775
epoch=5 loss=2.023597 train_acc=0.4697 val_acc=0.4680 best_val=0.4775
epoch=6 loss=1.968773 train_acc=0.4726 val_acc=0.4674 best_val=0.4775
epoch=7 loss=1.930375 train_acc=0.4802 val_acc=0.4737 best_val=0.4775
epoch=8 loss=1.896834 train_acc=0.4895 val_acc=0.4849 best_val=0.4849
epoch=9 loss=1.860126 train_acc=0.4992 val_acc=0.4944 best_val=0.4944
epoch=10 loss=1.830327 train_acc=0.5067 val_acc=0.5017 best_val=0.5017
epoch=11 loss=1.803844 train_acc=0.5109 val_acc=0.5085 best_val=0.5085
epoch=12 loss=1.780978 train_acc=0.5144 val_acc=0.5109 best_val=0.5109
epoch=13 loss=1.762605 train_acc=0.5162 val_acc=0.5130 best_val=0.5130
epoch=14 loss=1.743381 train_acc=0.5185 val_acc=0.5137 best_val=0.5137
epoch=15 loss=1.729481 train_acc=0.5219 val_acc=0.5152 best_val=0.5152
epoch=16 loss=1.719675 train_acc=0.5255 val_acc=0.5181 best_val=0.5181
epoch=17 loss=1.706273 train_acc=0.5291 val_acc=0.5220 best_val=0.5220
epoch=18 loss=1.694471 train_acc=0.5329 val_acc=0.5266 best_val=0.5266
epoch=19 loss=1.685817 train_acc=0.5358 val_acc=0.5298 best_val=0.5298
epoch=20 loss=1.671686 train_acc=0.5384 val_acc=0.5331 best_val=0.5331
epoch=21 loss=1.663110 train_acc=0.5402 val_acc=0.5363 best_val=0.5363
epoch=22 loss=1.652333 train_acc=0.5424 val_acc=0.5386 best_val=0.5386
epoch=23 loss=1.644239 train_acc=0.5443 val_acc=0.5412 best_val=0.5412
epoch=24 loss=1.635368 train_acc=0.5463 val_acc=0.5426 best_val=0.5426
epoch=25 loss=1.628936 train_acc=0.5488 val_acc=0.5447 best_val=0.5447
epoch=26 loss=1.623429 train_acc=0.5503 val_acc=0.5462 best_val=0.5462
epoch=27 loss=1.615762 train_acc=0.5519 val_acc=0.5475 best_val=0.5475
epoch=28 loss=1.609136 train_acc=0.5535 val_acc=0.5481 best_val=0.5481
epoch=29 loss=1.601380 train_acc=0.5547 val_acc=0.5496 best_val=0.5496
epoch=30 loss=1.598796 train_acc=0.5558 val_acc=0.5501 best_val=0.5501
epoch=31 loss=1.590082 train_acc=0.5575 val_acc=0.5510 best_val=0.5510
epoch=32 loss=1.586891 train_acc=0.5584 val_acc=0.5515 best_val=0.5515
epoch=33 loss=1.580018 train_acc=0.5601 val_acc=0.5532 best_val=0.5532
epoch=34 loss=1.577966 train_acc=0.5612 val_acc=0.5546 best_val=0.5546
epoch=35 loss=1.573176 train_acc=0.5626 val_acc=0.5553 best_val=0.5553
epoch=36 loss=1.566892 train_acc=0.5632 val_acc=0.5561 best_val=0.5561
epoch=37 loss=1.562762 train_acc=0.5640 val_acc=0.5571 best_val=0.5571
epoch=38 loss=1.564161 train_acc=0.5648 val_acc=0.5581 best_val=0.5581
epoch=39 loss=1.556078 train_acc=0.5655 val_acc=0.5582 best_val=0.5582
epoch=40 loss=1.554874 train_acc=0.5661 val_acc=0.5583 best_val=0.5583
epoch=41 loss=1.553340 train_acc=0.5667 val_acc=0.5593 best_val=0.5593
epoch=42 loss=1.551878 train_acc=0.5673 val_acc=0.5595 best_val=0.5595
epoch=43 loss=1.544918 train_acc=0.5680 val_acc=0.5592 best_val=0.5595
epoch=44 loss=1.541127 train_acc=0.5686 val_acc=0.5591 best_val=0.5595
epoch=45 loss=1.538813 train_acc=0.5693 val_acc=0.5595 best_val=0.5595
epoch=46 loss=1.537683 train_acc=0.5698 val_acc=0.5592 best_val=0.5595
epoch=47 loss=1.536514 train_acc=0.5705 val_acc=0.5597 best_val=0.5597
epoch=48 loss=1.532035 train_acc=0.5708 val_acc=0.5600 best_val=0.5600
epoch=49 loss=1.528230 train_acc=0.5714 val_acc=0.5601 best_val=0.5601
epoch=50 loss=1.530154 train_acc=0.5717 val_acc=0.5601 best_val=0.5601
epoch=51 loss=1.526450 train_acc=0.5724 val_acc=0.5599 best_val=0.5601
epoch=52 loss=1.524339 train_acc=0.5727 val_acc=0.5605 best_val=0.5605
epoch=53 loss=1.523564 train_acc=0.5734 val_acc=0.5610 best_val=0.5610
epoch=54 loss=1.520438 train_acc=0.5738 val_acc=0.5612 best_val=0.5612
epoch=55 loss=1.520225 train_acc=0.5742 val_acc=0.5612 best_val=0.5612
epoch=56 loss=1.521221 train_acc=0.5745 val_acc=0.5613 best_val=0.5613
epoch=57 loss=1.517592 train_acc=0.5748 val_acc=0.5616 best_val=0.5616
epoch=58 loss=1.518407 train_acc=0.5750 val_acc=0.5618 best_val=0.5618
epoch=59 loss=1.516325 train_acc=0.5752 val_acc=0.5617 best_val=0.5618
epoch=60 loss=1.515162 train_acc=0.5753 val_acc=0.5616 best_val=0.5618
epoch=61 loss=1.514165 train_acc=0.5757 val_acc=0.5616 best_val=0.5618
epoch=62 loss=1.514373 train_acc=0.5760 val_acc=0.5615 best_val=0.5618
epoch=63 loss=1.513815 train_acc=0.5761 val_acc=0.5614 best_val=0.5618
epoch=64 loss=1.510721 train_acc=0.5762 val_acc=0.5613 best_val=0.5618
epoch=65 loss=1.508154 train_acc=0.5764 val_acc=0.5611 best_val=0.5618
epoch=66 loss=1.510616 train_acc=0.5764 val_acc=0.5611 best_val=0.5618
epoch=67 loss=1.510741 train_acc=0.5764 val_acc=0.5611 best_val=0.5618
epoch=68 loss=1.509345 train_acc=0.5765 val_acc=0.5610 best_val=0.5618
epoch=69 loss=1.511419 train_acc=0.5766 val_acc=0.5611 best_val=0.5618
epoch=70 loss=1.509585 train_acc=0.5766 val_acc=0.5612 best_val=0.5618
early_stop epoch=70
done best_val=0.5618 seconds=149.01
