/home/heshi/work/bench-probes/MLAgentBench/.venv/lib/python3.10/site-packages/ogb/nodeproppred/dataset_pyg.py:69: UserWarning: Environment variable TORCH_FORCE_NO_WEIGHTS_ONLY_LOAD detected, since the`weights_only` argument was not explicitly passed to `torch.load`, forcing weights_only=False.
  self.data, self.slices = torch.load(self.processed_paths[0])
/home/heshi/work/copilotv3-mlagentbench-ogbn-arxiv-official-compat-20260603/copilot_mlp_seed20260604/env/train.py:65: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:838.)
  print(f"epoch={epoch} loss={float(loss):.6f} train_acc={train_acc:.4f} val_acc={val_acc:.4f} best_val={best_val:.4f}", flush=True)
epoch=0 loss=3.852725 train_acc=0.3755 val_acc=0.3871 best_val=0.3871
epoch=1 loss=2.576876 train_acc=0.4221 val_acc=0.4462 best_val=0.4462
epoch=2 loss=2.311890 train_acc=0.4483 val_acc=0.4704 best_val=0.4704
epoch=3 loss=2.187393 train_acc=0.4651 val_acc=0.4832 best_val=0.4832
epoch=4 loss=2.091353 train_acc=0.4761 val_acc=0.4853 best_val=0.4853
epoch=5 loss=2.010208 train_acc=0.4800 val_acc=0.4806 best_val=0.4853
epoch=6 loss=1.952326 train_acc=0.4768 val_acc=0.4706 best_val=0.4853
epoch=7 loss=1.917430 train_acc=0.4753 val_acc=0.4646 best_val=0.4853
epoch=8 loss=1.888516 train_acc=0.4803 val_acc=0.4696 best_val=0.4853
epoch=9 loss=1.861374 train_acc=0.4917 val_acc=0.4828 best_val=0.4853
epoch=10 loss=1.827919 train_acc=0.5005 val_acc=0.4945 best_val=0.4945
epoch=11 loss=1.802209 train_acc=0.5069 val_acc=0.5010 best_val=0.5010
epoch=12 loss=1.781112 train_acc=0.5114 val_acc=0.5051 best_val=0.5051
epoch=13 loss=1.762434 train_acc=0.5147 val_acc=0.5088 best_val=0.5088
epoch=14 loss=1.748870 train_acc=0.5160 val_acc=0.5117 best_val=0.5117
epoch=15 loss=1.733518 train_acc=0.5186 val_acc=0.5137 best_val=0.5137
epoch=16 loss=1.718711 train_acc=0.5224 val_acc=0.5157 best_val=0.5157
epoch=17 loss=1.702704 train_acc=0.5255 val_acc=0.5172 best_val=0.5172
epoch=18 loss=1.691161 train_acc=0.5292 val_acc=0.5206 best_val=0.5206
epoch=19 loss=1.673961 train_acc=0.5324 val_acc=0.5230 best_val=0.5230
epoch=20 loss=1.663501 train_acc=0.5352 val_acc=0.5268 best_val=0.5268
epoch=21 loss=1.657153 train_acc=0.5380 val_acc=0.5308 best_val=0.5308
epoch=22 loss=1.646559 train_acc=0.5408 val_acc=0.5344 best_val=0.5344
epoch=23 loss=1.638469 train_acc=0.5433 val_acc=0.5388 best_val=0.5388
epoch=24 loss=1.635116 train_acc=0.5460 val_acc=0.5418 best_val=0.5418
epoch=25 loss=1.629024 train_acc=0.5478 val_acc=0.5444 best_val=0.5444
epoch=26 loss=1.623809 train_acc=0.5497 val_acc=0.5466 best_val=0.5466
epoch=27 loss=1.617134 train_acc=0.5517 val_acc=0.5484 best_val=0.5484
epoch=28 loss=1.610462 train_acc=0.5531 val_acc=0.5493 best_val=0.5493
epoch=29 loss=1.603838 train_acc=0.5544 val_acc=0.5500 best_val=0.5500
epoch=30 loss=1.598527 train_acc=0.5556 val_acc=0.5511 best_val=0.5511
epoch=31 loss=1.591488 train_acc=0.5569 val_acc=0.5511 best_val=0.5511
